"Country","Country_code","Total.Library.Size","No..of.TV.Shows","No..of.Movies","Cost.Per.Month...Basic....","Cost.Per.Month...Standard....","Cost.Per.Month...Premium....","basic_standard_diff","standard_premium_diff","2020 GDP (World Bank)","year","gini_disp","X..of.Subscribers.Q4.2021..Estimate.","Q4.2021.Revenue....Estimate.","Alpha.3.code"
"Australia","au",6114,4050,2064,7.84,12.12,16.39,4.28,4.27,1391952510370.48,2013,32.6,"6,622,078","193,497,120","AUS"
"Australia","au",6114,4050,2064,7.84,12.12,16.39,4.28,4.27,1391952510370.48,2016,32.7,"6,622,078","193,497,120","AUS"
"Australia","au",6114,4050,2064,7.84,12.12,16.39,4.28,4.27,1391952510370.48,1992,29.3,"6,622,078","193,497,120","AUS"
"Australia","au",6114,4050,2064,7.84,12.12,16.39,4.28,4.27,1391952510370.48,2011,32.7,"6,622,078","193,497,120","AUS"
"Australia","au",6114,4050,2064,7.84,12.12,16.39,4.28,4.27,1391952510370.48,1969,27.1,"6,622,078","193,497,120","AUS"
"Australia","au",6114,4050,2064,7.84,12.12,16.39,4.28,4.27,1391952510370.48,2009,32.9,"6,622,078","193,497,120","AUS"
"Australia","au",6114,4050,2064,7.84,12.12,16.39,4.28,4.27,1391952510370.48,1988,29.4,"6,622,078","193,497,120","AUS"
"Australia","au",6114,4050,2064,7.84,12.12,16.39,4.28,4.27,1391952510370.48,1986,28.6,"6,622,078","193,497,120","AUS"
"Australia","au",6114,4050,2064,7.84,12.12,16.39,4.28,4.27,1391952510370.48,1984,27.8,"6,622,078","193,497,120","AUS"
"Australia","au",6114,4050,2064,7.84,12.12,16.39,4.28,4.27,1391952510370.48,2017,32.8,"6,622,078","193,497,120","AUS"
"Australia","au",6114,4050,2064,7.84,12.12,16.39,4.28,4.27,1391952510370.48,1971,26.6,"6,622,078","193,497,120","AUS"
"Australia","au",6114,4050,2064,7.84,12.12,16.39,4.28,4.27,1391952510370.48,1991,29.4,"6,622,078","193,497,120","AUS"
"Australia","au",6114,4050,2064,7.84,12.12,16.39,4.28,4.27,1391952510370.48,2008,32.8,"6,622,078","193,497,120","AUS"
"Australia","au",6114,4050,2064,7.84,12.12,16.39,4.28,4.27,1391952510370.48,1995,30.3,"6,622,078","193,497,120","AUS"
