"country_name","genres","n"
"Argentina","Action",139
"Argentina","Adventure",104
"Argentina","Animation",53
"Argentina","Biography",6
"Argentina","Comedy",169
"Argentina","Crime",132
"Argentina","Documentary",17
"Argentina","Drama",365
"Argentina","Family",12
"Argentina","Fantasy",35
"Argentina","Film-Noir",2
"Argentina","History",4
"Argentina","Horror",30
"Argentina","Music",37
"Argentina","Mystery",53
"Argentina","Romance",96
"Argentina","Sci-Fi",12
"Argentina","Sport",15
"Argentina","Talk-Show",9
"Argentina","Thriller",72
"Argentina","War",3
"Argentina","Western",4
"Australia","Action",193
"Australia","Adventure",137
"Australia","Animation",48
"Australia","Biography",13
"Australia","Comedy",180
"Australia","Crime",141
"Australia","Documentary",36
"Australia","Drama",272
"Australia","Family",45
"Australia","Fantasy",57
"Australia","Film-Noir",3
"Australia","Game-Show",8
"Australia","History",7
"Australia","Horror",27
"Australia","Musical",1
"Australia","Mystery",52
"Australia","Reality-TV",29
"Australia","Romance",73
"Australia","Sci-Fi",50
"Australia","Sport",16
"Australia","Talk-Show",10
"Australia","Thriller",64
"Australia","War",7
"Australia","Western",5
"Austria","Action",204
"Austria","Adult",2
"Austria","Adventure",129
"Austria","Animation",32
"Austria","Biography",13
"Austria","Comedy",180
"Austria","Crime",158
"Austria","Documentary",25
"Austria","Drama",310
"Austria","Family",45
"Austria","Fantasy",61
"Austria","Film-Noir",3
"Austria","Game-Show",7
"Austria","History",5
"Austria","Horror",35
"Austria","Music",1
"Austria","Mystery",57
"Austria","Reality-TV",14
"Austria","Romance",80
"Austria","Sci-Fi",29
"Austria","Sport",19
"Austria","Talk-Show",11
"Austria","Thriller",67
"Austria","War",3
"Austria","Western",5
"Bahamas","Action",182
"Bahamas","Adult",2
"Bahamas","Adventure",107
"Bahamas","Animation",73
"Bahamas","Biography",8
"Bahamas","Comedy",178
"Bahamas","Crime",148
"Bahamas","Documentary",12
"Bahamas","Drama",290
"Bahamas","Family",45
"Bahamas","Fantasy",39
"Bahamas","Film-Noir",3
"Bahamas","Game-Show",4
"Bahamas","History",3
"Bahamas","Horror",28
"Bahamas","Music",6
"Bahamas","Mystery",40
"Bahamas","Reality-TV",15
"Bahamas","Romance",70
"Bahamas","Sci-Fi",21
"Bahamas","Sport",11
"Bahamas","Talk-Show",6
"Bahamas","Thriller",91
"Bahamas","War",2
"Bahamas","Western",1
"Bahrain","Action",209
