"label","n","parent","id"
"total",132987,NA,"total"
"Action",17914,"total","total  -  Action"
"Adult",81,"total","total  -  Adult"
"Adventure",11056,"total","total  -  Adventure"
"Animation",4287,"total","total  -  Animation"
"Biography",735,"total","total  -  Biography"
"Comedy",16496,"total","total  -  Comedy"
"Crime",12752,"total","total  -  Crime"
"Documentary",1802,"total","total  -  Documentary"
"Drama",29954,"total","total  -  Drama"
"Family",2189,"total","total  -  Family"
"Fantasy",4096,"total","total  -  Fantasy"
"Film Noir",234,"total","total  -  Film Noir"
"Game Show",462,"total","total  -  Game Show"
"History",442,"total","total  -  History"
"Horror",2815,"total","total  -  Horror"
"Music",1007,"total","total  -  Music"
"Musical",144,"total","total  -  Musical"
"Mystery",4663,"total","total  -  Mystery"
"Reality TV",1114,"total","total  -  Reality TV"
"Romance",8955,"total","total  -  Romance"
"Sci Fi",2838,"total","total  -  Sci Fi"
"Short",1,"total","total  -  Short"
"Sport",1085,"total","total  -  Sport"
"Talk Show",766,"total","total  -  Talk Show"
"Thriller",6362,"total","total  -  Thriller"
"War",309,"total","total  -  War"
"Western",428,"total","total  -  Western"
"Argentina",139,"total -  Action","total -  Action  -  Argentina"
"Argentina",104,"total -  Adventure","total -  Adventure  -  Argentina"
"Argentina",53,"total -  Animation","total -  Animation  -  Argentina"
"Argentina",6,"total -  Biography","total -  Biography  -  Argentina"
"Argentina",169,"total -  Comedy","total -  Comedy  -  Argentina"
"Argentina",132,"total -  Crime","total -  Crime  -  Argentina"
"Argentina",17,"total -  Documentary","total -  Documentary  -  Argentina"
"Argentina",365,"total -  Drama","total -  Drama  -  Argentina"
"Argentina",12,"total -  Family","total -  Family  -  Argentina"
"Argentina",35,"total -  Fantasy","total -  Fantasy  -  Argentina"
"Argentina",2,"total -  Film Noir","total -  Film Noir  -  Argentina"
"Argentina",4,"total -  History","total -  History  -  Argentina"
"Argentina",30,"total -  Horror","total -  Horror  -  Argentina"
"Argentina",37,"total -  Music","total -  Music  -  Argentina"
"Argentina",53,"total -  Mystery","total -  Mystery  -  Argentina"
"Argentina",96,"total -  Romance","total -  Romance  -  Argentina"
"Argentina",12,"total -  Sci Fi","total -  Sci Fi  -  Argentina"
"Argentina",15,"total -  Sport","total -  Sport  -  Argentina"
"Argentina",9,"total -  Talk Show","total -  Talk Show  -  Argentina"
"Argentina",72,"total -  Thriller","total -  Thriller  -  Argentina"
"Argentina",3,"total -  War","total -  War  -  Argentina"
"Argentina",4,"total -  Western","total -  Western  -  Argentina"
"Australia",193,"total -  Action","total -  Action  -  Australia"
