"id","n","label","parent"
"total",117496,NA,NA
"total -  Action",17914," Action","total"
"total -  Adventure",11056," Adventure","total"
"total -  Animation",3395," Animation","total"
"total -  Comedy",16496," Comedy","total"
"total -  Crime",12752," Crime","total"
"total -  Documentary",33," Documentary","total"
"total -  Drama",29954," Drama","total"
"total -  Family",331," Family","total"
"total -  Fantasy",3515," Fantasy","total"
"total -  Horror",620," Horror","total"
"total -  Music",376," Music","total"
"total -  Mystery",4543," Mystery","total"
"total -  Romance",8955," Romance","total"
"total -  Sci Fi",1194," Sci Fi","total"
"total -  Thriller",6362," Thriller","total"
"total -  Action  -  Argentina",139,"Argentina","total -  Action"
"total -  Adventure  -  Argentina",104,"Argentina","total -  Adventure"
"total -  Animation  -  Argentina",53,"Argentina","total -  Animation"
"total -  Comedy  -  Argentina",169,"Argentina","total -  Comedy"
"total -  Crime  -  Argentina",132,"Argentina","total -  Crime"
"total -  Drama  -  Argentina",365,"Argentina","total -  Drama"
"total -  Music  -  Argentina",37,"Argentina","total -  Music"
"total -  Mystery  -  Argentina",53,"Argentina","total -  Mystery"
"total -  Romance  -  Argentina",96,"Argentina","total -  Romance"
"total -  Thriller  -  Argentina",72,"Argentina","total -  Thriller"
"total -  Action  -  Australia",193,"Australia","total -  Action"
"total -  Adventure  -  Australia",137,"Australia","total -  Adventure"
"total -  Comedy  -  Australia",180,"Australia","total -  Comedy"
"total -  Crime  -  Australia",141,"Australia","total -  Crime"
"total -  Drama  -  Australia",272,"Australia","total -  Drama"
"total -  Fantasy  -  Australia",57,"Australia","total -  Fantasy"
"total -  Mystery  -  Australia",52,"Australia","total -  Mystery"
"total -  Romance  -  Australia",73,"Australia","total -  Romance"
"total -  Sci Fi  -  Australia",50,"Australia","total -  Sci Fi"
"total -  Thriller  -  Australia",64,"Australia","total -  Thriller"
"total -  Action  -  Austria",204,"Austria","total -  Action"
"total -  Adventure  -  Austria",129,"Austria","total -  Adventure"
"total -  Comedy  -  Austria",180,"Austria","total -  Comedy"
"total -  Crime  -  Austria",158,"Austria","total -  Crime"
"total -  Drama  -  Austria",310,"Austria","total -  Drama"
"total -  Family  -  Austria",45,"Austria","total -  Family"
"total -  Fantasy  -  Austria",61,"Austria","total -  Fantasy"
"total -  Mystery  -  Austria",57,"Austria","total -  Mystery"
"total -  Romance  -  Austria",80,"Austria","total -  Romance"
"total -  Thriller  -  Austria",67,"Austria","total -  Thriller"
"total -  Action  -  Bahamas",182,"Bahamas","total -  Action"
"total -  Adventure  -  Bahamas",107,"Bahamas","total -  Adventure"
"total -  Animation  -  Bahamas",73,"Bahamas","total -  Animation"
"total -  Comedy  -  Bahamas",178,"Bahamas","total -  Comedy"
"total -  Crime  -  Bahamas",148,"Bahamas","total -  Crime"
"total -  Drama  -  Bahamas",290,"Bahamas","total -  Drama"
"total -  Family  -  Bahamas",45,"Bahamas","total -  Family"
"total -  Mystery  -  Bahamas",40,"Bahamas","total -  Mystery"
"total -  Romance  -  Bahamas",70,"Bahamas","total -  Romance"
"total -  Thriller  -  Bahamas",91,"Bahamas","total -  Thriller"
"total -  Action  -  Bahrain",209,"Bahrain","total -  Action"
"total -  Adventure  -  Bahrain",116,"Bahrain","total -  Adventure"
"total -  Comedy  -  Bahrain",152,"Bahrain","total -  Comedy"
"total -  Crime  -  Bahrain",138,"Bahrain","total -  Crime"
"total -  Drama  -  Bahrain",323,"Bahrain","total -  Drama"
"total -  Fantasy  -  Bahrain",48,"Bahrain","total -  Fantasy"
"total -  Horror  -  Bahrain",35,"Bahrain","total -  Horror"
"total -  Mystery  -  Bahrain",47,"Bahrain","total -  Mystery"
"total -  Romance  -  Bahrain",90,"Bahrain","total -  Romance"
"total -  Thriller  -  Bahrain",78,"Bahrain","total -  Thriller"
"total -  Action  -  Bangladesh",220,"Bangladesh","total -  Action"
"total -  Adventure  -  Bangladesh",95,"Bangladesh","total -  Adventure"
"total -  Comedy  -  Bangladesh",183,"Bangladesh","total -  Comedy"
"total -  Crime  -  Bangladesh",171,"Bangladesh","total -  Crime"
"total -  Drama  -  Bangladesh",377,"Bangladesh","total -  Drama"
"total -  Fantasy  -  Bangladesh",36,"Bangladesh","total -  Fantasy"
"total -  Mystery  -  Bangladesh",87,"Bangladesh","total -  Mystery"
"total -  Romance  -  Bangladesh",91,"Bangladesh","total -  Romance"
"total -  Sci Fi  -  Bangladesh",39,"Bangladesh","total -  Sci Fi"
"total -  Thriller  -  Bangladesh",71,"Bangladesh","total -  Thriller"
"total -  Action  -  Belgium",205,"Belgium","total -  Action"
"total -  Adventure  -  Belgium",139,"Belgium","total -  Adventure"
"total -  Animation  -  Belgium",50,"Belgium","total -  Animation"
"total -  Comedy  -  Belgium",183,"Belgium","total -  Comedy"
"total -  Crime  -  Belgium",134,"Belgium","total -  Crime"
"total -  Drama  -  Belgium",305,"Belgium","total -  Drama"
"total -  Fantasy  -  Belgium",57,"Belgium","total -  Fantasy"
"total -  Mystery  -  Belgium",47,"Belgium","total -  Mystery"
"total -  Romance  -  Belgium",84,"Belgium","total -  Romance"
"total -  Thriller  -  Belgium",59,"Belgium","total -  Thriller"
"total -  Action  -  Bolivia",158,"Bolivia","total -  Action"
"total -  Adventure  -  Bolivia",141,"Bolivia","total -  Adventure"
"total -  Animation  -  Bolivia",97,"Bolivia","total -  Animation"
"total -  Comedy  -  Bolivia",221,"Bolivia","total -  Comedy"
"total -  Crime  -  Bolivia",85,"Bolivia","total -  Crime"
"total -  Drama  -  Bolivia",272,"Bolivia","total -  Drama"
"total -  Fantasy  -  Bolivia",38,"Bolivia","total -  Fantasy"
"total -  Mystery  -  Bolivia",40,"Bolivia","total -  Mystery"
"total -  Romance  -  Bolivia",108,"Bolivia","total -  Romance"
"total -  Thriller  -  Bolivia",50,"Bolivia","total -  Thriller"
"total -  Action  -  Brazil",162,"Brazil","total -  Action"
"total -  Adventure  -  Brazil",161,"Brazil","total -  Adventure"
"total -  Animation  -  Brazil",71,"Brazil","total -  Animation"
"total -  Comedy  -  Brazil",171,"Brazil","total -  Comedy"
