"parents","n","labels","id"
"Argentina",104," Adventure","Argentina  -   Adventure"
"Argentina",53," Animation","Argentina  -   Animation"
"Argentina",6," Biography","Argentina  -   Biography"
"Argentina",169," Comedy","Argentina  -   Comedy"
"Argentina",132," Crime","Argentina  -   Crime"
"Argentina",17," Documentary","Argentina  -   Documentary"
"Argentina",365," Drama","Argentina  -   Drama"
"Argentina",12," Family","Argentina  -   Family"
"Argentina",35," Fantasy","Argentina  -   Fantasy"
"Argentina",2," Film Noir","Argentina  -   Film Noir"
"Argentina",4," History","Argentina  -   History"
"Argentina",30," Horror","Argentina  -   Horror"
"Argentina",37," Music","Argentina  -   Music"
"Argentina",53," Mystery","Argentina  -   Mystery"
"Argentina",96," Romance","Argentina  -   Romance"
"Argentina",12," Sci Fi","Argentina  -   Sci Fi"
"Argentina",15," Sport","Argentina  -   Sport"
"Argentina",9," Talk Show","Argentina  -   Talk Show"
"Argentina",72," Thriller","Argentina  -   Thriller"
"Argentina",3," War","Argentina  -   War"
"Argentina",4," Western","Argentina  -   Western"
"Australia",193," Action","Australia  -   Action"
"Australia",137," Adventure","Australia  -   Adventure"
"Australia",48," Animation","Australia  -   Animation"
"Australia",13," Biography","Australia  -   Biography"
"Australia",180," Comedy","Australia  -   Comedy"
"Australia",141," Crime","Australia  -   Crime"
"Australia",36," Documentary","Australia  -   Documentary"
"Australia",272," Drama","Australia  -   Drama"
"Australia",45," Family","Australia  -   Family"
"Australia",57," Fantasy","Australia  -   Fantasy"
"Australia",3," Film Noir","Australia  -   Film Noir"
"Australia",8," Game Show","Australia  -   Game Show"
"Australia",7," History","Australia  -   History"
"Australia",27," Horror","Australia  -   Horror"
"Australia",1," Musical","Australia  -   Musical"
"Australia",52," Mystery","Australia  -   Mystery"
"Australia",29," Reality TV","Australia  -   Reality TV"
"Australia",73," Romance","Australia  -   Romance"
"Australia",50," Sci Fi","Australia  -   Sci Fi"
"Australia",16," Sport","Australia  -   Sport"
"Australia",10," Talk Show","Australia  -   Talk Show"
"Australia",64," Thriller","Australia  -   Thriller"
"Australia",7," War","Australia  -   War"
"Australia",5," Western","Australia  -   Western"
"Austria",204," Action","Austria  -   Action"
"Austria",2," Adult","Austria  -   Adult"
"Austria",129," Adventure","Austria  -   Adventure"
"Austria",32," Animation","Austria  -   Animation"
"Austria",13," Biography","Austria  -   Biography"
"Austria",180," Comedy","Austria  -   Comedy"
"Austria",158," Crime","Austria  -   Crime"
"Austria",25," Documentary","Austria  -   Documentary"
"Austria",310," Drama","Austria  -   Drama"
"Austria",45," Family","Austria  -   Family"
"Austria",61," Fantasy","Austria  -   Fantasy"
"Austria",3," Film Noir","Austria  -   Film Noir"
"Austria",7," Game Show","Austria  -   Game Show"
"Austria",5," History","Austria  -   History"
"Austria",35," Horror","Austria  -   Horror"
"Austria",1," Music","Austria  -   Music"
"Austria",57," Mystery","Austria  -   Mystery"
"Austria",14," Reality TV","Austria  -   Reality TV"
"Austria",80," Romance","Austria  -   Romance"
"Austria",29," Sci Fi","Austria  -   Sci Fi"
"Austria",19," Sport","Austria  -   Sport"
"Austria",11," Talk Show","Austria  -   Talk Show"
"Austria",67," Thriller","Austria  -   Thriller"
"Austria",3," War","Austria  -   War"
"Austria",5," Western","Austria  -   Western"
"Bahamas",182," Action","Bahamas  -   Action"
"Bahamas",2," Adult","Bahamas  -   Adult"
"Bahamas",107," Adventure","Bahamas  -   Adventure"
"Bahamas",73," Animation","Bahamas  -   Animation"
"Bahamas",8," Biography","Bahamas  -   Biography"
"Bahamas",178," Comedy","Bahamas  -   Comedy"
"Bahamas",148," Crime","Bahamas  -   Crime"
"Bahamas",12," Documentary","Bahamas  -   Documentary"
"Bahamas",290," Drama","Bahamas  -   Drama"
"Bahamas",45," Family","Bahamas  -   Family"
"Bahamas",39," Fantasy","Bahamas  -   Fantasy"
"Bahamas",3," Film Noir","Bahamas  -   Film Noir"
"Bahamas",4," Game Show","Bahamas  -   Game Show"
"Bahamas",3," History","Bahamas  -   History"
"Bahamas",28," Horror","Bahamas  -   Horror"
"Bahamas",6," Music","Bahamas  -   Music"
"Bahamas",40," Mystery","Bahamas  -   Mystery"
"Bahamas",15," Reality TV","Bahamas  -   Reality TV"
